State,REI ID,REI,2013 DALYs,2013 Rank,2014 DALYs,2014 Rank,2013-2014 YoY %,2015 DALYs,2015 Rank,2014-2015 YoY %,2016 DALYs,2016 Rank,2015-2016 YoY %,2017 DALYs,2017 Rank,2016-2017 YoY %,2018 DALYs,2018 Rank,2017-2018 YoY %,2019 DALYs,2019 Rank,2018-2019 YoY %,2020 DALYs,2020 Rank,2019-2020 YoY %,2021 DALYs,2021 Rank,2020-2021 YoY %,2022 DALYs,2022 Rank,2021-2022 YoY %,2023 DALYs,2023 Rank,2022-2023 YoY %
Mizoram,122,Diet low in omega-6 polyunsaturated fatty acids,288.40,31,288.53,31,+0.05%,307.81,31,+6.68%,367.72,31,+19.46%,381.45,31,+3.73%,384.64,31,+0.84%,369.01,31,-4.07%,380.02,31,+2.98%,545.08,31,+43.44%,442.86,31,-18.75%,452.53,31,+2.18%
Uttar Pradesh,123,Diet high in trans fatty acids,284.11K,1,289.00K,1,+1.72%,278.40K,1,-3.67%,290.75K,1,+4.44%,265.50K,1,-8.68%,252.62K,1,-4.85%,221.68K,1,-12.25%,195.99K,2,-11.59%,236.29K,2,+20.57%,236.89K,1,+0.25%,242.57K,1,+2.40%
Tamil Nadu,123,Diet high in trans fatty acids,248.08K,2,244.96K,2,-1.26%,232.93K,2,-4.91%,229.05K,2,-1.67%,215.49K,2,-5.92%,196.60K,2,-8.76%,171.28K,4,-12.88%,168.72K,4,-1.49%,193.52K,5,+14.70%,161.92K,6,-16.33%,166.12K,6,+2.59%
Maharashtra,123,Diet high in trans fatty acids,192.22K,3,185.44K,3,-3.53%,173.73K,4,-6.32%,163.78K,6,-5.73%,154.95K,7,-5.39%,170.53K,5,+10.06%,128.66K,9,-24.56%,107.79K,10,-16.22%,134.86K,10,+25.12%,123.68K,9,-8.29%,130.69K,9,+5.67%
Karnataka,123,Diet high in trans fatty acids,175.00K,4,181.91K,4,+3.95%,187.41K,3,+3.02%,196.39K,3,+4.80%,197.26K,3,+0.44%,193.25K,3,-2.03%,184.34K,3,-4.61%,196.38K,1,+6.53%,251.24K,1,+27.94%,198.11K,2,-21.15%,204.11K,2,+3.03%
Andhra Pradesh,123,Diet high in trans fatty acids,162.13K,5,165.52K,6,+2.09%,167.96K,6,+1.48%,174.36K,5,+3.81%,174.76K,5,+0.23%,168.05K,6,-3.84%,156.92K,5,-6.63%,159.37K,5,+1.56%,193.10K,6,+21.16%,169.11K,5,-12.42%,169.77K,5,+0.39%
Telangana,123,Diet high in trans fatty acids,161.57K,6,166.28K,5,+2.92%,169.52K,5,+1.95%,181.52K,4,+7.08%,187.00K,4,+3.02%,188.84K,4,+0.98%,185.78K,2,-1.62%,182.89K,3,-1.56%,217.80K,3,+19.09%,198.10K,3,-9.05%,196.68K,3,-0.71%
West Bengal,123,Diet high in trans fatty acids,147.43K,7,153.25K,7,+3.95%,150.12K,7,-2.04%,158.16K,7,+5.35%,157.27K,6,-0.56%,158.29K,7,+0.65%,151.90K,6,-4.04%,156.61K,6,+3.10%,202.17K,4,+29.10%,169.64K,4,-16.09%,180.70K,4,+6.52%
Gujarat,123,Diet high in trans fatty acids,132.52K,8,132.87K,8,+0.27%,131.13K,8,-1.32%,132.67K,10,+1.18%,130.62K,10,-1.54%,125.39K,10,-4.01%,119.04K,10,-5.06%,122.56K,9,+2.95%,185.51K,7,+51.36%,122.29K,11,-34.08%,123.99K,11,+1.38%
Bihar,123,Diet high in trans fatty acids,124.80K,9,127.83K,10,+2.43%,126.11K,10,-1.34%,137.30K,8,+8.87%,134.34K,9,-2.16%,138.66K,8,+3.22%,134.57K,7,-2.95%,125.80K,8,-6.52%,164.10K,9,+30.45%,144.17K,7,-12.14%,152.47K,7,+5.76%
Madhya Pradesh,123,Diet high in trans fatty acids,124.77K,10,128.10K,9,+2.67%,129.30K,9,+0.94%,136.39K,9,+5.48%,135.52K,8,-0.64%,135.76K,9,+0.18%,132.82K,8,-2.17%,132.10K,7,-0.54%,179.01K,8,+35.51%,142.14K,8,-20.60%,148.16K,8,+4.24%
Rajasthan,123,Diet high in trans fatty acids,94.38K,11,101.34K,11,+7.37%,106.54K,11,+5.14%,114.92K,11,+7.86%,116.64K,11,+1.50%,116.43K,11,-0.18%,111.79K,11,-3.99%,106.50K,11,-4.73%,128.37K,11,+20.53%,123.13K,10,-4.08%,124.62K,10,+1.21%
Punjab,123,Diet high in trans fatty acids,86.32K,12,88.68K,12,+2.73%,90.56K,12,+2.12%,99.61K,12,+9.99%,102.42K,12,+2.83%,104.15K,12,+1.68%,100.07K,12,-3.92%,102.46K,12,+2.39%,121.74K,12,+18.81%,109.34K,12,-10.19%,109.28K,12,-0.06%
Kerala,123,Diet high in trans fatty acids,71.40K,13,67.85K,13,-4.97%,65.19K,13,-3.92%,65.42K,13,+0.35%,64.10K,13,-2.03%,59.29K,13,-7.50%,52.58K,14,-11.31%,44.98K,14,-14.47%,50.65K,16,+12.62%,52.83K,14,+4.30%,54.31K,14,+2.78%
Haryana,123,Diet high in trans fatty acids,57.39K,14,57.20K,14,-0.32%,54.88K,14,-4.06%,56.60K,14,+3.13%,53.35K,15,-5.74%,51.76K,15,-2.97%,45.63K,15,-11.84%,44.30K,16,-2.92%,55.25K,14,+24.72%,44.13K,16,-20.13%,45.28K,16,+2.60%
Chhattisgarh,123,Diet high in trans fatty acids,46.86K,15,48.69K,15,+3.92%,50.58K,15,+3.88%,56.27K,15,+11.24%,57.98K,14,+3.04%,58.70K,14,+1.24%,58.00K,13,-1.20%,56.78K,13,-2.09%,80.32K,13,+41.45%,64.94K,13,-19.16%,65.33K,13,+0.61%
Odisha,123,Diet high in trans fatty acids,39.19K,16,39.13K,17,-0.14%,39.39K,17,+0.67%,43.75K,17,+11.06%,45.69K,16,+4.44%,46.38K,16,+1.50%,45.37K,16,-2.19%,44.36K,15,-2.21%,53.94K,15,+21.58%,50.76K,15,-5.88%,51.43K,15,+1.31%
Uttarakhand,123,Diet high in trans fatty acids,38.21K,17,40.10K,16,+4.94%,41.26K,16,+2.88%,44.20K,16,+7.14%,44.20K,17,-0.00%,43.51K,17,-1.57%,39.39K,17,-9.46%,38.23K,17,-2.94%,46.28K,17,+21.05%,42.51K,17,-8.14%,42.20K,17,-0.75%
Jharkhand,123,Diet high in trans fatty acids,32.54K,18,31.25K,19,-3.97%,28.84K,19,-7.70%,31.43K,19,+8.98%,30.36K,19,-3.42%,29.67K,19,-2.26%,27.45K,19,-7.47%,25.08K,20,-8.67%,31.67K,20,+26.30%,29.13K,19,-8.02%,29.36K,19,+0.79%
Delhi,123,Diet high in trans fatty acids,32.23K,19,32.17K,18,-0.17%,31.08K,18,-3.39%,31.48K,18,+1.28%,28.79K,20,-8.56%,27.78K,20,-3.49%,24.53K,21,-11.71%,29.92K,19,+22.00%,38.44K,18,+28.45%,27.09K,21,-29.52%,27.88K,21,+2.91%
Assam,123,Diet high in trans fatty acids,27.16K,20,27.85K,20,+2.53%,28.62K,20,+2.75%,30.60K,20,+6.93%,31.74K,18,+3.73%,32.47K,18,+2.29%,31.80K,18,-2.05%,31.08K,18,-2.26%,38.27K,19,+23.11%,36.79K,18,-3.86%,38.62K,18,+4.97%
Jammu & Kashmir and Ladakh,123,Diet high in trans fatty acids,19.94K,21,21.01K,21,+5.36%,22.43K,21,+6.77%,24.84K,21,+10.77%,25.56K,21,+2.88%,26.06K,21,+1.95%,25.05K,20,-3.87%,23.49K,21,-6.24%,27.27K,21,+16.12%,27.80K,20,+1.95%,27.98K,20,+0.65%
Himachal Pradesh,123,Diet high in trans fatty acids,12.14K,22,11.21K,22,-7.62%,10.76K,22,-4.07%,11.06K,22,+2.81%,11.51K,22,+4.05%,11.92K,22,+3.60%,11.73K,22,-1.60%,11.33K,22,-3.47%,14.25K,22,+25.82%,14.66K,22,+2.88%,14.97K,22,+2.12%
Other Union Territories,123,Diet high in trans fatty acids,6.78K,23,7.15K,23,+5.41%,7.45K,23,+4.13%,8.02K,23,+7.71%,8.24K,23,+2.80%,8.34K,23,+1.19%,8.15K,23,-2.36%,8.74K,23,+7.26%,11.71K,23,+34.08%,9.30K,23,-20.64%,9.57K,23,+2.98%
Tripura,123,Diet high in trans fatty acids,5.11K,24,4.48K,25,-12.42%,4.79K,25,+6.97%,5.92K,24,+23.65%,6.15K,24,+3.76%,6.04K,24,-1.80%,5.90K,24,-2.31%,5.90K,24,+0.05%,6.92K,24,+17.22%,6.93K,24,+0.27%,7.34K,24,+5.83%
Goa,123,Diet high in trans fatty acids,4.68K,25,4.81K,24,+2.96%,4.86K,24,+0.98%,4.93K,25,+1.36%,4.88K,25,-0.92%,4.80K,25,-1.68%,4.54K,25,-5.35%,4.55K,25,+0.19%,5.87K,25,+29.02%,4.88K,25,-16.86%,4.96K,25,+1.70%
Manipur,123,Diet high in trans fatty acids,2.56K,26,2.72K,26,+6.46%,2.87K,26,+5.44%,3.14K,26,+9.52%,3.27K,26,+3.98%,3.40K,26,+4.05%,3.34K,26,-1.73%,3.34K,26,+0.08%,5.23K,26,+56.30%,4.01K,26,-23.22%,4.23K,26,+5.37%
Meghalaya,123,Diet high in trans fatty acids,1.40K,27,1.43K,27,+1.69%,1.45K,27,+1.53%,1.62K,27,+12.04%,1.72K,27,+5.81%,1.79K,27,+4.47%,1.77K,27,-1.34%,1.79K,27,+1.37%,2.95K,27,+64.28%,2.13K,27,-27.59%,2.21K,27,+3.50%
Nagaland,123,Diet high in trans fatty acids,1.12K,28,1.16K,28,+3.13%,1.17K,28,+1.56%,1.23K,28,+4.71%,1.25K,28,+2.01%,1.27K,28,+1.56%,1.23K,28,-3.53%,1.24K,28,+1.10%,1.95K,28,+57.21%,1.40K,28,-28.47%,1.44K,28,+2.94%
Arunachal Pradesh,123,Diet high in trans fatty acids,778.08,29,806.47,29,+3.65%,839.82,29,+4.14%,900.64,29,+7.24%,930.63,29,+3.33%,945.39,29,+1.59%,931.63,29,-1.46%,947.58,29,+1.71%,1.23K,29,+29.33%,1.12K,29,-8.68%,1.15K,29,+3.03%
Sikkim,123,Diet high in trans fatty acids,737.48,30,746.23,30,+1.19%,730.43,30,-2.12%,735.20,30,+0.65%,699.76,30,-4.82%,651.17,30,-6.94%,580.35,30,-10.88%,545.51,30,-6.00%,705.04,30,+29.24%,688.43,30,-2.36%,706.18,30,+2.58%
Mizoram,123,Diet high in trans fatty acids,277.58,31,277.63,31,+0.02%,294.82,31,+6.19%,351.91,31,+19.37%,367.52,31,+4.43%,372.10,31,+1.25%,359.91,31,-3.28%,373.46,31,+3.76%,537.91,31,+44.04%,434.84,31,-19.16%,445.29,31,+2.40%
Maharashtra,124,Diet high in sodium,310.64K,1,315.77K,1,+1.65%,313.56K,1,-0.70%,309.74K,3,-1.22%,313.21K,3,+1.12%,365.07K,1,+16.56%,283.52K,2,-22.34%,247.64K,3,-12.66%,309.34K,3,+24.92%,270.69K,2,-12.49%,282.29K,2,+4.28%
Tamil Nadu,124,Diet high in sodium,306.75K,2,311.35K,2,+1.50%,310.97K,2,-0.12%,319.54K,2,+2.76%,315.22K,2,-1.35%,299.92K,3,-4.86%,273.07K,3,-8.95%,275.15K,2,+0.76%,310.72K,2,+12.93%,262.70K,3,-15.46%,272.11K,3,+3.58%
Uttar Pradesh,124,Diet high in sodium,277.87K,3,292.55K,3,+5.28%,301.98K,3,+3.22%,326.27K,1,+8.05%,322.07K,1,-1.29%,316.67K,2,-1.68%,296.97K,1,-6.22%,279.34K,1,-5.94%,323.31K,1,+15.74%,321.07K,1,-0.69%,329.79K,1,+2.72%
West Bengal,124,Diet high in sodium,195.29K,4,198.92K,4,+1.86%,198.36K,4,-0.28%,207.23K,4,+4.47%,208.85K,4,+0.78%,209.01K,4,+0.08%,203.98K,4,-2.41%,214.54K,4,+5.18%,265.83K,4,+23.91%,222.14K,4,-16.43%,232.83K,4,+4.81%
Karnataka,124,Diet high in sodium,135.89K,5,140.61K,5,+3.48%,147.48K,5,+4.89%,155.24K,5,+5.26%,157.31K,5,+1.34%,154.71K,5,-1.66%,148.33K,5,-4.12%,158.36K,5,+6.76%,198.39K,6,+25.28%,156.13K,5,-21.30%,161.06K,5,+3.16%
Bihar,124,Diet high in sodium,124.53K,6,126.30K,6,+1.42%,127.66K,6,+1.07%,138.18K,6,+8.24%,139.33K,6,+0.84%,142.34K,6,+2.16%,140.33K,6,-1.41%,135.49K,7,-3.45%,166.00K,7,+22.52%,147.36K,6,-11.23%,154.09K,6,+4.57%
Telangana,124,Diet high in sodium,116.19K,7,118.02K,7,+1.58%,121.62K,7,+3.04%,130.02K,7,+6.91%,135.59K,7,+4.28%,137.27K,7,+1.24%,135.41K,7,-1.36%,134.89K,8,-0.39%,157.47K,9,+16.75%,142.26K,7,-9.66%,141.58K,8,-0.48%
Madhya Pradesh,124,Diet high in sodium,113.62K,8,115.94K,8,+2.04%,118.94K,9,+2.59%,126.01K,9,+5.95%,127.37K,9,+1.08%,126.90K,9,-0.37%,124.99K,9,-1.50%,126.55K,9,+1.25%,162.39K,8,+28.32%,131.73K,9,-18.88%,136.75K,9,+3.81%
Gujarat,124,Diet high in sodium,109.40K,9,113.85K,9,+4.07%,119.50K,8,+4.96%,127.15K,8,+6.40%,132.10K,8,+3.89%,132.37K,8,+0.20%,131.71K,8,-0.50%,140.63K,6,+6.78%,208.56K,5,+48.30%,139.27K,8,-33.22%,142.00K,7,+1.96%
Andhra Pradesh,124,Diet high in sodium,96.78K,10,98.34K,10,+1.61%,101.21K,10,+2.91%,107.11K,10,+5.83%,109.99K,10,+2.69%,107.25K,10,-2.49%,102.60K,10,-4.33%,104.51K,10,+1.87%,122.91K,10,+17.60%,108.08K,10,-12.07%,108.85K,11,+0.72%
Rajasthan,124,Diet high in sodium,77.46K,11,83.22K,11,+7.44%,89.58K,11,+7.64%,97.51K,11,+8.86%,101.31K,11,+3.90%,101.88K,11,+0.55%,99.39K,11,-2.44%,97.20K,11,-2.20%,112.16K,11,+15.39%,107.27K,11,-4.35%,109.91K,10,+2.46%
Kerala,124,Diet high in sodium,74.13K,12,73.56K,12,-0.77%,75.45K,13,+2.57%,80.23K,13,+6.33%,83.49K,13,+4.07%,81.21K,13,-2.73%,75.85K,14,-6.61%,67.39K,15,-11.16%,75.23K,15,+11.65%,78.72K,15,+4.63%,80.61K,15,+2.40%
Punjab,124,Diet high in sodium,71.79K,13,73.47K,13,+2.35%,76.64K,12,+4.30%,84.97K,12,+10.88%,89.15K,12,+4.91%,91.09K,12,+2.19%,89.18K,12,-2.10%,92.59K,12,+3.82%,108.18K,12,+16.84%,97.25K,12,-10.10%,96.78K,12,-0.48%
Odisha,124,Diet high in sodium,65.60K,14,64.55K,14,-1.60%,66.35K,14,+2.78%,73.66K,14,+11.01%,77.98K,14,+5.87%,79.19K,14,+1.56%,78.61K,13,-0.74%,78.16K,13,-0.57%,90.75K,14,+16.11%,85.89K,13,-5.36%,86.87K,13,+1.14%
Chhattisgarh,124,Diet high in sodium,59.05K,15,60.66K,15,+2.73%,64.00K,15,+5.50%,71.23K,15,+11.30%,75.06K,15,+5.37%,75.77K,15,+0.95%,75.60K,15,-0.22%,75.25K,14,-0.47%,100.55K,13,+33.62%,81.76K,14,-18.69%,82.56K,14,+0.98%
Assam,124,Diet high in sodium,48.19K,16,48.96K,16,+1.59%,51.19K,16,+4.56%,54.86K,16,+7.16%,57.34K,16,+4.52%,58.37K,16,+1.80%,57.59K,16,-1.33%,56.67K,16,-1.61%,67.47K,16,+19.07%,64.35K,16,-4.63%,66.48K,16,+3.31%
Haryana,124,Diet high in sodium,40.50K,17,41.93K,17,+3.54%,42.90K,17,+2.32%,46.62K,17,+8.66%,47.10K,18,+1.02%,47.44K,18,+0.72%,44.73K,18,-5.70%,45.21K,18,+1.06%,54.17K,18,+19.82%,43.33K,18,-20.00%,44.01K,18,+1.57%
Jharkhand,124,Diet high in sodium,39.54K,18,40.22K,18,+1.72%,40.36K,18,+0.35%,46.40K,18,+14.97%,48.61K,17,+4.76%,49.73K,17,+2.32%,48.88K,17,-1.72%,47.42K,17,-2.99%,58.10K,17,+22.53%,52.74K,17,-9.22%,53.43K,17,+1.31%
Uttarakhand,124,Diet high in sodium,28.91K,19,30.16K,19,+4.31%,31.65K,19,+4.94%,33.98K,19,+7.36%,34.28K,19,+0.90%,33.52K,20,-2.23%,30.68K,20,-8.48%,30.11K,21,-1.84%,35.05K,21,+16.39%,32.36K,20,-7.67%,32.74K,20,+1.16%
Delhi,124,Diet high in sodium,28.79K,20,28.64K,20,-0.54%,28.28K,21,-1.24%,28.94K,21,+2.32%,27.34K,21,-5.51%,26.50K,21,-3.07%,24.33K,21,-8.20%,31.25K,20,+28.43%,38.79K,19,+24.12%,26.68K,21,-31.21%,27.92K,21,+4.64%
Jammu & Kashmir and Ladakh,124,Diet high in sodium,25.92K,21,27.10K,21,+4.54%,29.10K,20,+7.37%,32.14K,20,+10.46%,33.56K,20,+4.40%,34.17K,19,+1.82%,33.30K,19,-2.54%,31.77K,19,-4.59%,36.58K,20,+15.14%,36.57K,19,-0.01%,37.00K,19,+1.17%
Himachal Pradesh,124,Diet high in sodium,9.78K,22,9.07K,22,-7.27%,8.90K,22,-1.83%,9.21K,22,+3.50%,9.69K,22,+5.17%,10.07K,22,+3.97%,10.05K,22,-0.25%,9.84K,22,-2.07%,12.18K,22,+23.79%,12.31K,22,+1.10%,12.62K,22,+2.53%
Tripura,124,Diet high in sodium,7.00K,23,6.01K,23,-14.16%,6.45K,23,+7.26%,7.90K,23,+22.42%,8.25K,23,+4.50%,7.99K,23,-3.20%,7.89K,23,-1.26%,7.94K,23,+0.71%,9.00K,23,+13.31%,8.91K,23,-0.93%,9.25K,23,+3.72%
Other Union Territories,124,Diet high in sodium,5.06K,24,5.31K,24,+4.91%,5.62K,24,+5.77%,6.08K,24,+8.18%,6.31K,24,+3.90%,6.41K,24,+1.58%,6.35K,24,-0.99%,6.90K,24,+8.59%,8.96K,24,+29.99%,7.18K,24,-19.84%,7.43K,24,+3.36%
Goa,124,Diet high in sodium,3.75K,25,3.83K,26,+2.03%,3.93K,26,+2.61%,4.01K,26,+2.02%,4.00K,26,-0.19%,3.93K,26,-1.79%,3.74K,26,-4.77%,3.76K,26,+0.42%,4.72K,26,+25.60%,4.00K,26,-15.26%,4.04K,26,+1.06%
Manipur,124,Diet high in sodium,3.71K,26,3.86K,25,+4.09%,4.10K,25,+6.30%,4.48K,25,+9.24%,4.70K,25,+4.77%,4.82K,25,+2.64%,4.79K,25,-0.67%,4.81K,25,+0.51%,7.14K,25,+48.26%,5.57K,25,-21.90%,5.85K,25,+4.97%
Meghalaya,124,Diet high in sodium,1.88K,27,1.87K,27,-0.21%,1.93K,27,+3.07%,2.17K,27,+12.37%,2.32K,27,+6.91%,2.40K,27,+3.53%,2.40K,27,-0.20%,2.45K,27,+2.15%,3.85K,27,+57.34%,2.82K,27,-26.77%,2.92K,27,+3.66%
Nagaland,124,Diet high in sodium,1.61K,28,1.62K,28,+1.14%,1.67K,28,+2.80%,1.75K,28,+4.84%,1.80K,28,+2.65%,1.81K,28,+0.45%,1.75K,28,-3.05%,1.77K,28,+0.94%,2.65K,28,+49.98%,1.94K,28,-26.95%,1.98K,28,+2.55%
Arunachal Pradesh,124,Diet high in sodium,966.68,29,986.39,29,+2.04%,1.04K,29,+5.00%,1.11K,29,+7.27%,1.16K,29,+4.14%,1.17K,29,+1.39%,1.16K,29,-0.87%,1.19K,29,+2.06%,1.48K,29,+24.70%,1.37K,29,-7.70%,1.42K,29,+4.02%
Sikkim,124,Diet high in sodium,658.17,30,669.37,30,+1.70%,675.07,30,+0.85%,688.60,30,+2.01%,667.05,30,-3.13%,623.99,30,-6.45%,564.27,30,-9.57%,538.50,31,-4.57%,671.11,31,+24.63%,661.70,30,-1.40%,679.53,30,+2.70%
Mizoram,124,Diet high in sodium,402.38,31,394.47,31,-1.97%,422.24,31,+7.04%,506.75,31,+20.01%,534.87,31,+5.55%,536.83,31,+0.37%,524.76,31,-2.25%,546.05,30,+4.06%,750.13,30,+37.37%,617.46,31,-17.69%,627.46,31,+1.62%
Maharashtra,125,Low physical activity,109.17K,1,110.19K,1,+0.94%,106.91K,1,-2.97%,104.86K,1,-1.92%,103.80K,1,-1.01%,117.36K,1,+13.06%,92.73K,1,-20.98%,80.46K,1,-13.23%,99.95K,1,+24.22%,92.03K,1,-7.93%,95.66K,1,+3.95%
Tamil Nadu,125,Low physical activity,60.36K,2,61.32K,2,+1.59%,60.00K,2,-2.15%,61.05K,2,+1.75%,59.70K,3,-2.21%,56.84K,3,-4.80%,51.24K,3,-9.84%,50.74K,3,-0.97%,57.24K,3,+12.80%,50.42K,3,-11.91%,52.20K,3,+3.51%
Andhra Pradesh,125,Low physical activity,55.17K,3,56.46K,3,+2.33%,57.24K,3,+1.38%,60.21K,3,+5.20%,61.63K,2,+2.35%,61.07K,2,-0.91%,58.28K,2,-4.57%,58.85K,2,+0.99%,66.76K,2,+13.44%,61.94K,2,-7.22%,61.61K,2,-0.54%
Uttar Pradesh,125,Low physical activity,30.44K,4,32.17K,4,+5.67%,33.24K,4,+3.34%,37.13K,4,+11.69%,36.49K,4,-1.71%,36.98K,4,+1.33%,34.73K,4,-6.09%,32.44K,4,-6.61%,39.05K,4,+20.39%,39.08K,4,+0.07%,39.45K,4,+0.95%
Kerala,125,Low physical activity,28.70K,5,28.12K,5,-2.02%,28.61K,5,+1.72%,30.80K,5,+7.68%,32.39K,5,+5.16%,32.08K,5,-0.95%,30.18K,5,-5.91%,26.97K,5,-10.65%,30.23K,6,+12.08%,31.96K,5,+5.74%,32.46K,5,+1.56%
West Bengal,125,Low physical activity,23.97K,6,24.81K,6,+3.50%,24.24K,6,-2.32%,25.45K,6,+5.00%,25.54K,6,+0.37%,26.02K,6,+1.85%,25.25K,6,-2.95%,26.21K,6,+3.82%,32.73K,5,+24.84%,28.11K,6,-14.11%,29.62K,6,+5.36%
Madhya Pradesh,125,Low physical activity,21.22K,7,21.58K,7,+1.67%,21.71K,7,+0.59%,23.08K,7,+6.31%,23.18K,7,+0.45%,23.38K,7,+0.85%,22.91K,7,-2.01%,23.21K,7,+1.33%,29.52K,7,+27.19%,24.78K,7,-16.05%,25.74K,7,+3.88%
Uttarakhand,125,Low physical activity,13.43K,8,13.98K,8,+4.14%,14.42K,8,+3.14%,15.49K,8,+7.43%,15.44K,8,-0.35%,15.15K,8,-1.90%,13.71K,10,-9.49%,13.53K,10,-1.30%,16.20K,10,+19.75%,14.73K,11,-9.09%,14.88K,11,+1.05%
Karnataka,125,Low physical activity,12.60K,9,13.23K,9,+5.06%,13.80K,9,+4.32%,14.67K,9,+6.26%,14.94K,9,+1.86%,14.96K,9,+0.09%,14.41K,8,-3.66%,15.11K,8,+4.88%,18.61K,9,+23.18%,15.52K,8,-16.63%,16.09K,8,+3.70%
Bihar,125,Low physical activity,12.52K,10,12.95K,10,+3.39%,12.84K,10,-0.82%,14.06K,10,+9.48%,13.97K,10,-0.63%,14.51K,10,+3.86%,14.11K,9,-2.74%,13.19K,11,-6.57%,15.66K,11,+18.78%,14.92K,9,-4.73%,15.56K,9,+4.26%
Telangana,125,Low physical activity,11.63K,11,11.76K,11,+1.16%,11.76K,11,+0.00%,12.62K,11,+7.26%,13.13K,11,+4.04%,13.36K,11,+1.81%,13.02K,12,-2.61%,12.63K,12,-2.94%,14.23K,12,+12.67%,13.98K,12,-1.79%,13.75K,12,-1.64%
Gujarat,125,Low physical activity,10.09K,12,10.61K,12,+5.15%,11.10K,12,+4.60%,12.03K,12,+8.40%,12.70K,12,+5.54%,13.10K,12,+3.15%,13.34K,11,+1.89%,14.26K,9,+6.89%,21.03K,8,+47.45%,14.77K,10,-29.78%,14.97K,10,+1.34%
Rajasthan,125,Low physical activity,7.29K,13,7.78K,13,+6.63%,8.18K,13,+5.18%,8.88K,13,+8.57%,9.12K,13,+2.76%,9.29K,13,+1.81%,9.01K,13,-2.97%,8.71K,14,-3.36%,10.25K,14,+17.70%,10.14K,13,-1.08%,10.27K,13,+1.32%
Odisha,125,Low physical activity,6.57K,14,6.54K,15,-0.51%,6.61K,15,+1.15%,7.44K,15,+12.56%,7.92K,15,+6.43%,8.25K,15,+4.11%,8.24K,15,-0.12%,8.10K,15,-1.66%,9.31K,16,+14.95%,9.35K,15,+0.43%,9.33K,15,-0.22%
Punjab,125,Low physical activity,6.44K,15,6.59K,14,+2.37%,6.85K,14,+3.95%,7.76K,14,+13.29%,8.20K,14,+5.72%,8.62K,14,+5.10%,8.60K,14,-0.30%,8.94K,13,+3.98%,10.34K,13,+15.66%,9.64K,14,-6.77%,9.72K,14,+0.86%
Chhattisgarh,125,Low physical activity,6.11K,16,6.20K,16,+1.50%,6.36K,16,+2.60%,7.09K,16,+11.48%,7.42K,16,+4.70%,7.63K,16,+2.78%,7.62K,16,-0.14%,7.51K,16,-1.41%,10.16K,15,+35.30%,8.35K,16,-17.86%,8.24K,16,-1.31%
Jharkhand,125,Low physical activity,4.39K,17,4.40K,19,+0.18%,4.43K,19,+0.72%,5.07K,18,+14.33%,5.16K,19,+1.73%,5.30K,19,+2.80%,5.17K,19,-2.45%,4.83K,19,-6.58%,5.80K,19,+20.03%,5.74K,18,-0.93%,5.65K,18,-1.63%
Assam,125,Low physical activity,4.36K,18,4.41K,18,+1.19%,4.56K,18,+3.44%,4.98K,19,+9.15%,5.26K,18,+5.53%,5.48K,18,+4.27%,5.43K,18,-0.96%,5.27K,18,-2.93%,6.00K,18,+13.95%,6.20K,17,+3.26%,6.41K,17,+3.41%
Haryana,125,Low physical activity,4.34K,19,4.65K,17,+7.23%,4.79K,17,+2.86%,5.34K,17,+11.51%,5.45K,17,+2.14%,5.71K,17,+4.73%,5.44K,17,-4.78%,5.49K,17,+1.02%,6.72K,17,+22.40%,5.65K,19,-15.89%,5.65K,19,-0.12%
Delhi,125,Low physical activity,2.40K,20,2.39K,20,-0.46%,2.31K,20,-3.58%,2.36K,20,+2.43%,2.23K,20,-5.58%,2.20K,20,-1.31%,2.04K,20,-7.51%,2.54K,20,+24.58%,3.16K,20,+24.70%,2.30K,20,-27.28%,2.38K,20,+3.66%
Jammu & Kashmir and Ladakh,125,Low physical activity,1.39K,21,1.41K,21,+1.42%,1.46K,21,+3.16%,1.59K,21,+9.03%,1.64K,21,+3.09%,1.70K,21,+3.78%,1.68K,21,-0.95%,1.68K,21,-0.29%,2.12K,21,+26.16%,1.92K,21,-9.21%,1.96K,21,+1.95%
Himachal Pradesh,125,Low physical activity,774.02,22,716.67,22,-7.41%,692.81,22,-3.33%,717.43,23,+3.55%,752.97,23,+4.95%,796.98,23,+5.84%,807.47,23,+1.32%,813.84,23,+0.79%,1.03K,22,+26.67%,992.57,22,-3.71%,998.26,23,+0.57%
Tripura,125,Low physical activity,726.74,23,618.16,23,-14.94%,656.44,23,+6.19%,817.14,22,+24.48%,853.10,22,+4.40%,839.03,22,-1.65%,830.43,22,-1.02%,838.54,22,+0.98%,960.37,23,+14.53%,979.77,23,+2.02%,1.04K,22,+5.72%
Other Union Territories,125,Low physical activity,492.01,24,511.41,24,+3.94%,526.58,24,+2.97%,569.52,24,+8.16%,589.23,24,+3.46%,604.78,24,+2.64%,602.41,24,-0.39%,659.83,24,+9.53%,854.86,24,+29.56%,709.29,24,-17.03%,740.76,24,+4.44%
Manipur,125,Low physical activity,388.50,25,401.43,25,+3.33%,415.64,25,+3.54%,452.90,25,+8.96%,469.45,25,+3.65%,487.60,25,+3.87%,482.10,25,-1.13%,479.89,25,-0.46%,696.18,25,+45.07%,571.11,25,-17.97%,600.59,25,+5.16%
