Cause ID,Cause Name,State,Gender,2013 YLLs,2013 YLLs YoY %,2014 YLLs,2014 YLLs YoY %,2015 YLLs,2015 YLLs YoY %,2016 YLLs,2016 YLLs YoY %,2017 YLLs,2017 YLLs YoY %,2018 YLLs,2018 YLLs YoY %,2019 YLLs,2019 YLLs YoY %,2020 YLLs,2020 YLLs YoY %,2021 YLLs,2021 YLLs YoY %,2022 YLLs,2022 YLLs YoY %,2023 YLLs,2023 YLLs YoY %
494,Stroke,Bihar,Female,503.93K,,550.93K,+9.32%,549.48K,-0.26%,582.00K,+5.92%,576.71K,-0.91%,589.27K,+2.18%,573.70K,-2.64%,535.71K,-6.62%,572.09K,+6.79%,573.22K,+0.20%,588.61K,+2.68%
494,Stroke,Chhattisgarh,Male,535.59K,,525.33K,-1.91%,534.64K,+1.77%,591.02K,+10.54%,616.28K,+4.28%,600.39K,-2.58%,587.01K,-2.23%,569.79K,-2.93%,747.58K,+31.20%,586.92K,-21.49%,577.65K,-1.58%
494,Stroke,Chhattisgarh,Female,358.46K,,384.55K,+7.28%,400.93K,+4.26%,441.02K,+10.00%,467.32K,+5.96%,485.75K,+3.95%,492.91K,+1.47%,467.77K,-5.10%,584.11K,+24.87%,500.66K,-14.29%,485.62K,-3.00%
494,Stroke,Delhi,Male,89.00K,,84.65K,-4.88%,81.19K,-4.09%,79.10K,-2.57%,73.48K,-7.11%,67.94K,-7.54%,61.58K,-9.36%,78.56K,+27.57%,92.60K,+17.87%,61.26K,-33.85%,61.33K,+0.12%
494,Stroke,Delhi,Female,49.49K,,50.65K,+2.33%,48.11K,-5.01%,47.61K,-1.03%,44.69K,-6.14%,42.79K,-4.26%,40.18K,-6.10%,52.15K,+29.79%,59.89K,+14.85%,43.62K,-27.17%,43.53K,-0.21%
494,Stroke,Goa,Male,17.78K,,17.57K,-1.15%,17.55K,-0.15%,17.66K,+0.63%,17.53K,-0.71%,17.07K,-2.65%,16.20K,-5.08%,16.37K,+1.04%,20.18K,+23.26%,16.18K,-19.83%,15.91K,-1.66%
494,Stroke,Goa,Female,7.86K,,8.15K,+3.75%,8.29K,+1.68%,8.13K,-1.89%,7.95K,-2.21%,7.88K,-0.85%,7.63K,-3.28%,7.55K,-0.97%,8.69K,+15.14%,7.86K,-9.64%,7.88K,+0.31%
494,Stroke,Gujarat,Male,533.04K,,570.74K,+7.07%,620.56K,+8.73%,685.33K,+10.44%,739.48K,+7.90%,755.95K,+2.23%,760.69K,+0.63%,826.61K,+8.67%,1.22M,+47.85%,803.27K,-34.27%,781.57K,-2.70%
494,Stroke,Gujarat,Female,346.62K,,397.31K,+14.62%,437.90K,+10.22%,477.25K,+8.99%,514.17K,+7.74%,538.33K,+4.70%,563.28K,+4.63%,609.73K,+8.25%,863.05K,+41.55%,580.65K,-32.72%,578.19K,-0.42%
494,Stroke,Haryana,Male,239.62K,,266.18K,+11.08%,294.85K,+10.77%,342.95K,+16.31%,372.35K,+8.57%,389.63K,+4.64%,383.76K,-1.51%,389.99K,+1.62%,463.08K,+18.74%,370.36K,-20.02%,358.13K,-3.30%
494,Stroke,Haryana,Female,129.99K,,155.07K,+19.29%,167.42K,+7.97%,186.03K,+11.11%,194.53K,+4.57%,205.16K,+5.47%,205.64K,+0.23%,212.08K,+3.13%,242.38K,+14.29%,203.69K,-15.96%,201.49K,-1.08%
494,Stroke,Himachal Pradesh,Male,36.15K,,32.46K,-10.19%,31.01K,-4.47%,31.82K,+2.60%,33.63K,+5.69%,34.57K,+2.78%,34.10K,-1.36%,32.62K,-4.34%,38.67K,+18.55%,39.06K,+1.02%,39.52K,+1.17%
494,Stroke,Himachal Pradesh,Female,20.99K,,19.25K,-8.30%,18.07K,-6.13%,17.52K,-3.02%,17.62K,+0.55%,18.01K,+2.25%,17.95K,-0.37%,18.03K,+0.48%,22.36K,+23.97%,20.21K,-9.59%,19.98K,-1.16%
494,Stroke,Jammu & Kashmir and Ladakh,Male,71.25K,,72.48K,+1.73%,76.55K,+5.62%,83.29K,+8.81%,86.76K,+4.16%,85.97K,-0.91%,81.23K,-5.52%,73.45K,-9.57%,76.40K,+4.02%,81.32K,+6.44%,80.78K,-0.66%
494,Stroke,Jammu & Kashmir and Ladakh,Female,37.56K,,38.96K,+3.71%,40.70K,+4.48%,42.97K,+5.58%,44.17K,+2.80%,45.70K,+3.45%,45.87K,+0.37%,46.94K,+2.34%,59.68K,+27.13%,48.03K,-19.53%,48.69K,+1.39%
494,Stroke,Jharkhand,Male,259.11K,,287.93K,+11.12%,281.48K,-2.24%,347.02K,+23.28%,379.26K,+9.29%,395.83K,+4.37%,398.83K,+0.76%,386.80K,-3.02%,506.91K,+31.05%,407.02K,-19.70%,405.78K,-0.31%
494,Stroke,Jharkhand,Female,265.90K,,272.00K,+2.30%,301.47K,+10.83%,336.24K,+11.53%,348.30K,+3.59%,358.42K,+2.91%,353.69K,-1.32%,328.92K,-7.00%,347.19K,+5.55%,383.35K,+10.41%,382.24K,-0.29%
494,Stroke,Karnataka,Male,649.03K,,636.94K,-1.86%,648.33K,+1.79%,684.02K,+5.50%,694.77K,+1.57%,668.88K,-3.73%,635.02K,-5.06%,676.31K,+6.50%,815.75K,+20.62%,607.10K,-25.58%,603.27K,-0.63%
494,Stroke,Karnataka,Female,402.57K,,439.67K,+9.22%,459.98K,+4.62%,470.94K,+2.38%,454.82K,-3.42%,433.96K,-4.59%,405.28K,-6.61%,407.02K,+0.43%,479.47K,+17.80%,396.40K,-17.33%,400.62K,+1.06%
494,Stroke,Kerala,Male,434.49K,,458.68K,+5.57%,488.66K,+6.54%,544.36K,+11.40%,587.80K,+7.98%,583.79K,-0.68%,553.47K,-5.19%,494.71K,-10.62%,557.11K,+12.61%,555.34K,-0.32%,543.19K,-2.19%
494,Stroke,Kerala,Female,224.81K,,225.28K,+0.21%,242.17K,+7.50%,266.48K,+10.04%,284.47K,+6.75%,285.33K,+0.30%,272.35K,-4.55%,243.92K,-10.44%,251.62K,+3.16%,295.49K,+17.44%,300.93K,+1.84%
494,Stroke,Madhya Pradesh,Male,652.06K,,642.26K,-1.50%,645.37K,+0.48%,673.92K,+4.42%,669.94K,-0.59%,642.42K,-4.11%,616.58K,-4.02%,603.32K,-2.15%,742.45K,+23.06%,594.78K,-19.89%,594.86K,+0.01%
494,Stroke,Madhya Pradesh,Female,453.50K,,466.31K,+2.83%,460.82K,-1.18%,474.07K,+2.88%,475.34K,+0.27%,477.97K,+0.55%,474.03K,-0.82%,469.66K,-0.92%,570.38K,+21.45%,462.74K,-18.87%,466.31K,+0.77%
494,Stroke,Maharashtra,Male,1.45M,,1.51M,+4.59%,1.56M,+2.88%,1.60M,+2.57%,1.67M,+4.68%,2.03M,+21.39%,1.60M,-21.35%,1.38M,-13.33%,1.68M,+21.30%,1.48M,-11.85%,1.49M,+0.99%
494,Stroke,Maharashtra,Female,700.74K,,785.31K,+12.07%,817.34K,+4.08%,839.49K,+2.71%,821.64K,-2.13%,879.34K,+7.02%,729.20K,-17.07%,633.69K,-13.10%,765.94K,+20.87%,718.96K,-6.13%,735.10K,+2.25%
494,Stroke,Manipur,Male,39.96K,,40.04K,+0.21%,41.17K,+2.81%,44.54K,+8.20%,46.30K,+3.94%,46.56K,+0.56%,44.90K,-3.57%,43.70K,-2.66%,63.46K,+45.21%,47.97K,-24.40%,49.60K,+3.40%
494,Stroke,Manipur,Female,18.97K,,20.40K,+7.53%,21.50K,+5.40%,22.69K,+5.52%,23.18K,+2.16%,23.73K,+2.34%,23.44K,-1.21%,23.28K,-0.66%,33.70K,+44.72%,25.95K,-23.00%,26.79K,+3.26%
494,Stroke,Meghalaya,Male,16.61K,,15.94K,-4.03%,15.90K,-0.23%,17.61K,+10.71%,18.66K,+5.99%,18.99K,+1.77%,18.54K,-2.37%,18.42K,-0.63%,28.61K,+55.26%,19.70K,-31.13%,19.97K,+1.39%
494,Stroke,Meghalaya,Female,8.82K,,8.85K,+0.32%,8.88K,+0.31%,10.00K,+12.60%,10.79K,+7.93%,11.38K,+5.47%,11.47K,+0.75%,11.65K,+1.61%,17.86K,+53.27%,12.79K,-28.37%,13.18K,+2.98%
494,Stroke,Mizoram,Male,2.95K,,2.74K,-7.28%,2.85K,+4.24%,3.45K,+20.87%,3.65K,+5.99%,3.63K,-0.58%,3.48K,-4.19%,3.49K,+0.36%,4.68K,+33.97%,3.76K,-19.76%,3.78K,+0.53%
494,Stroke,Mizoram,Female,1.09K,,1.11K,+1.55%,1.19K,+7.56%,1.47K,+22.85%,1.57K,+7.17%,1.63K,+3.36%,1.62K,-0.22%,1.78K,+9.91%,2.52K,+41.58%,1.98K,-21.62%,1.92K,-3.11%
494,Stroke,Nagaland,Male,17.80K,,17.39K,-2.33%,17.37K,-0.12%,18.04K,+3.90%,18.39K,+1.90%,18.20K,-0.99%,17.25K,-5.26%,17.00K,-1.45%,25.41K,+49.50%,17.76K,-30.09%,18.11K,+1.96%
494,Stroke,Nagaland,Female,7.15K,,7.44K,+4.06%,7.54K,+1.41%,7.67K,+1.69%,7.74K,+0.84%,7.79K,+0.63%,7.58K,-2.68%,7.63K,+0.75%,11.08K,+45.18%,7.95K,-28.23%,8.06K,+1.31%
494,Stroke,Odisha,Male,612.35K,,579.27K,-5.40%,574.91K,-0.75%,638.59K,+11.08%,669.43K,+4.83%,662.82K,-0.99%,644.34K,-2.79%,629.16K,-2.36%,733.31K,+16.55%,654.85K,-10.70%,657.08K,+0.34%
494,Stroke,Odisha,Female,462.68K,,471.92K,+2.00%,482.42K,+2.23%,531.18K,+10.11%,563.20K,+6.03%,577.56K,+2.55%,578.37K,+0.14%,564.50K,-2.40%,604.22K,+7.04%,622.23K,+2.98%,625.54K,+0.53%
494,Stroke,Other Union Territories,Male,18.78K,,18.94K,+0.81%,19.36K,+2.24%,20.64K,+6.61%,21.25K,+2.96%,21.12K,-0.63%,20.59K,-2.49%,21.95K,+6.58%,27.24K,+24.10%,21.38K,-21.51%,21.21K,-0.80%
494,Stroke,Other Union Territories,Female,13.36K,,14.50K,+8.49%,15.08K,+4.02%,15.94K,+5.72%,16.25K,+1.93%,16.45K,+1.20%,16.40K,-0.29%,18.29K,+11.53%,23.69K,+29.54%,18.20K,-23.17%,18.11K,-0.49%
494,Stroke,Punjab,Male,190.18K,,187.08K,-1.63%,190.15K,+1.64%,208.03K,+9.40%,219.48K,+5.50%,219.73K,+0.12%,215.20K,-2.06%,222.38K,+3.34%,248.19K,+11.61%,215.59K,-13.14%,207.44K,-3.78%
494,Stroke,Punjab,Female,125.61K,,134.25K,+6.88%,140.37K,+4.56%,155.33K,+10.66%,162.66K,+4.71%,167.94K,+3.25%,171.87K,+2.34%,179.28K,+4.31%,194.77K,+8.64%,184.59K,-5.23%,182.11K,-1.34%
494,Stroke,Rajasthan,Male,354.60K,,368.74K,+3.99%,388.71K,+5.42%,421.74K,+8.50%,439.92K,+4.31%,432.33K,-1.73%,416.74K,-3.61%,400.78K,-3.83%,440.80K,+9.99%,416.18K,-5.59%,405.06K,-2.67%
494,Stroke,Rajasthan,Female,204.66K,,226.82K,+10.83%,239.79K,+5.72%,251.78K,+5.00%,253.80K,+0.80%,250.96K,-1.12%,243.52K,-2.96%,230.68K,-5.27%,251.03K,+8.82%,243.61K,-2.96%,242.99K,-0.26%
494,Stroke,Sikkim,Male,3.69K,,3.61K,-2.14%,3.54K,-2.12%,3.56K,+0.75%,3.42K,-4.03%,3.13K,-8.61%,2.73K,-12.70%,2.48K,-8.98%,2.90K,+16.64%,2.88K,-0.47%,2.92K,+1.11%
494,Stroke,Sikkim,Female,1.96K,,1.99K,+1.72%,1.93K,-3.09%,1.87K,-2.83%,1.78K,-4.99%,1.69K,-5.36%,1.55K,-8.00%,1.59K,+2.34%,2.04K,+28.84%,1.83K,-10.35%,1.86K,+1.38%
494,Stroke,Tamil Nadu,Male,727.26K,,766.61K,+5.41%,799.48K,+4.29%,878.98K,+9.94%,923.97K,+5.12%,915.95K,-0.87%,872.19K,-4.78%,878.86K,+0.77%,975.11K,+10.95%,774.70K,-20.55%,773.44K,-0.16%
494,Stroke,Tamil Nadu,Female,532.87K,,601.53K,+12.89%,635.20K,+5.60%,676.59K,+6.52%,680.96K,+0.65%,652.87K,-4.13%,608.18K,-6.85%,615.75K,+1.24%,669.56K,+8.74%,602.08K,-10.08%,623.31K,+3.53%
494,Stroke,Telangana,Male,488.81K,,476.34K,-2.55%,480.57K,+0.89%,512.12K,+6.56%,530.36K,+3.56%,529.86K,-0.10%,521.40K,-1.60%,516.66K,-0.91%,593.51K,+14.88%,490.21K,-17.40%,473.67K,-3.38%
494,Stroke,Telangana,Female,324.83K,,332.30K,+2.30%,332.28K,-0.00%,346.58K,+4.30%,349.42K,+0.82%,340.53K,-2.55%,324.29K,-4.77%,299.89K,-7.52%,295.47K,-1.48%,322.54K,+9.16%,313.93K,-2.67%
494,Stroke,Tripura,Male,76.03K,,63.15K,-16.94%,65.28K,+3.38%,78.72K,+20.58%,81.48K,+3.51%,77.65K,-4.71%,75.30K,-3.03%,74.25K,-1.39%,82.63K,+11.28%,78.44K,-5.07%,80.01K,+1.99%
