Cause ID,Cause Name,State,Gender,2013 Deaths,2013 Deaths YoY %,2014 Deaths,2014 Deaths YoY %,2015 Deaths,2015 Deaths YoY %,2016 Deaths,2016 Deaths YoY %,2017 Deaths,2017 Deaths YoY %,2018 Deaths,2018 Deaths YoY %,2019 Deaths,2019 Deaths YoY %,2020 Deaths,2020 Deaths YoY %,2021 Deaths,2021 Deaths YoY %,2022 Deaths,2022 Deaths YoY %,2023 Deaths,2023 Deaths YoY %
493,Ischemic heart disease,Jammu & Kashmir and Ladakh,Female,4.95K,,5.22K,+5.43%,5.46K,+4.55%,5.88K,+7.75%,5.97K,+1.39%,6.22K,+4.30%,6.14K,-1.24%,6.16K,+0.31%,8.14K,+32.15%,6.73K,-17.36%,6.82K,+1.30%
493,Ischemic heart disease,Jharkhand,Male,13.04K,,12.76K,-2.19%,10.94K,-14.28%,12.58K,+15.00%,12.41K,-1.36%,12.13K,-2.20%,11.37K,-6.29%,10.66K,-6.21%,14.91K,+39.85%,11.94K,-19.92%,12.07K,+1.10%
493,Ischemic heart disease,Jharkhand,Female,10.75K,,10.25K,-4.65%,10.33K,+0.78%,11.11K,+7.56%,10.66K,-4.08%,10.53K,-1.24%,9.79K,-6.98%,8.52K,-12.95%,9.27K,+8.73%,10.30K,+11.11%,10.22K,-0.78%
493,Ischemic heart disease,Karnataka,Male,83.45K,,83.61K,+0.18%,85.40K,+2.15%,91.19K,+6.77%,92.95K,+1.93%,90.60K,-2.53%,86.59K,-4.43%,93.13K,+7.55%,119.30K,+28.11%,92.45K,-22.51%,94.58K,+2.30%
493,Ischemic heart disease,Karnataka,Female,41.32K,,46.32K,+12.10%,48.96K,+5.70%,51.11K,+4.38%,49.99K,-2.19%,48.57K,-2.83%,45.20K,-6.95%,45.25K,+0.12%,55.06K,+21.68%,46.63K,-15.32%,47.80K,+2.51%
493,Ischemic heart disease,Kerala,Male,45.45K,,43.19K,-4.98%,41.45K,-4.02%,42.47K,+2.45%,41.99K,-1.11%,39.00K,-7.13%,34.72K,-10.97%,29.58K,-14.82%,34.53K,+16.74%,34.47K,-0.15%,35.01K,+1.55%
493,Ischemic heart disease,Kerala,Female,13.84K,,13.02K,-5.88%,13.06K,+0.32%,13.59K,+4.03%,13.63K,+0.33%,13.03K,-4.43%,11.74K,-9.87%,10.04K,-14.52%,10.58K,+5.39%,12.38K,+16.97%,12.98K,+4.92%
493,Ischemic heart disease,Madhya Pradesh,Male,61.31K,,61.74K,+0.71%,62.37K,+1.02%,66.57K,+6.73%,66.15K,-0.63%,65.00K,-1.74%,63.37K,-2.50%,62.22K,-1.82%,82.78K,+33.04%,68.02K,-17.83%,70.02K,+2.94%
493,Ischemic heart disease,Madhya Pradesh,Female,26.13K,,27.59K,+5.56%,27.56K,-0.10%,29.01K,+5.27%,28.88K,-0.45%,29.49K,+2.13%,29.15K,-1.18%,28.40K,-2.56%,36.53K,+28.62%,30.13K,-17.52%,30.83K,+2.35%
493,Ischemic heart disease,Maharashtra,Male,103.07K,,99.60K,-3.36%,93.17K,-6.46%,87.95K,-5.60%,84.42K,-4.01%,96.62K,+14.45%,71.60K,-25.89%,59.90K,-16.34%,76.29K,+27.36%,68.19K,-10.62%,71.62K,+5.02%
493,Ischemic heart disease,Maharashtra,Female,40.16K,,41.37K,+3.02%,39.07K,-5.57%,37.13K,-4.95%,33.75K,-9.11%,34.24K,+1.45%,26.65K,-22.16%,21.91K,-17.77%,27.43K,+25.17%,25.47K,-7.14%,26.57K,+4.32%
493,Ischemic heart disease,Manipur,Male,1.20K,,1.24K,+3.37%,1.30K,+4.88%,1.45K,+11.05%,1.52K,+4.98%,1.57K,+3.41%,1.54K,-2.05%,1.53K,-0.75%,2.36K,+54.74%,1.84K,-21.99%,1.94K,+5.46%
493,Ischemic heart disease,Manipur,Female,780.01,,861.21,+10.41%,920.02,+6.83%,991.89,+7.81%,1.02K,+2.44%,1.06K,+4.17%,1.04K,-1.81%,1.03K,-0.96%,1.55K,+50.56%,1.22K,-21.59%,1.28K,+5.10%
493,Ischemic heart disease,Meghalaya,Male,662.54,,661.36,-0.18%,669.54,+1.24%,753.78,+12.58%,797.76,+5.83%,823.94,+3.28%,806.96,-2.06%,811.77,+0.60%,1.34K,+65.54%,963.48,-28.30%,993.93,+3.16%
493,Ischemic heart disease,Meghalaya,Female,361.50,,378.06,+4.58%,386.54,+2.24%,441.62,+14.25%,475.01,+7.56%,506.14,+6.55%,501.98,-0.82%,506.96,+0.99%,805.02,+58.79%,591.88,-26.48%,616.60,+4.18%
493,Ischemic heart disease,Mizoram,Male,136.79,,133.57,-2.35%,141.96,+6.28%,172.85,+21.76%,181.67,+5.10%,183.47,+0.99%,177.20,-3.41%,179.90,+1.52%,257.69,+43.24%,215.11,-16.53%,221.93,+3.17%
493,Ischemic heart disease,Mizoram,Female,58.92,,60.65,+2.93%,64.36,+6.11%,76.79,+19.32%,78.98,+2.85%,79.44,+0.58%,75.35,-5.15%,78.86,+4.66%,111.10,+40.89%,85.25,-23.27%,85.97,+0.85%
493,Ischemic heart disease,Nagaland,Male,477.79,,470.59,-1.51%,469.25,-0.29%,493.52,+5.17%,501.65,+1.65%,500.74,-0.18%,475.98,-4.94%,473.72,-0.47%,751.18,+58.57%,534.45,-28.85%,550.23,+2.95%
493,Ischemic heart disease,Nagaland,Female,358.41,,381.48,+6.44%,391.19,+2.55%,406.71,+3.97%,411.99,+1.30%,421.03,+2.19%,407.58,-3.19%,406.66,-0.23%,606.83,+49.23%,450.48,-25.77%,467.14,+3.70%
493,Ischemic heart disease,Odisha,Male,17.82K,,17.18K,-3.57%,17.01K,-1.00%,19.10K,+12.27%,19.88K,+4.13%,19.92K,+0.20%,19.44K,-2.45%,18.87K,-2.89%,23.70K,+25.58%,21.66K,-8.63%,21.94K,+1.30%
493,Ischemic heart disease,Odisha,Female,9.30K,,9.83K,+5.70%,10.17K,+3.43%,11.49K,+13.03%,12.23K,+6.42%,12.80K,+4.63%,12.80K,-0.01%,12.42K,-2.97%,13.87K,+11.67%,14.22K,+2.56%,14.30K,+0.58%
493,Ischemic heart disease,Other Union Territories,Male,3.43K,,3.55K,+3.37%,3.67K,+3.49%,4.00K,+8.97%,4.16K,+3.94%,4.19K,+0.73%,4.11K,-1.90%,4.36K,+6.26%,5.74K,+31.43%,4.65K,-18.88%,4.78K,+2.71%
493,Ischemic heart disease,Other Union Territories,Female,1.46K,,1.62K,+10.63%,1.70K,+4.78%,1.83K,+7.78%,1.87K,+2.33%,1.91K,+2.15%,1.89K,-1.36%,2.06K,+9.43%,2.76K,+33.59%,2.16K,-21.76%,2.21K,+2.29%
493,Ischemic heart disease,Punjab,Male,54.66K,,55.13K,+0.86%,56.11K,+1.78%,62.43K,+11.26%,65.26K,+4.54%,65.86K,+0.92%,63.38K,-3.77%,64.78K,+2.21%,76.79K,+18.54%,68.22K,-11.15%,67.37K,-1.25%
493,Ischemic heart disease,Punjab,Female,24.72K,,26.59K,+7.55%,27.75K,+4.37%,31.22K,+12.50%,32.27K,+3.37%,33.61K,+4.16%,33.19K,-1.27%,33.71K,+1.57%,38.27K,+13.54%,36.07K,-5.75%,35.95K,-0.35%
493,Ischemic heart disease,Rajasthan,Male,49.48K,,52.58K,+6.26%,55.27K,+5.12%,60.33K,+9.16%,62.56K,+3.69%,62.33K,-0.38%,60.54K,-2.87%,57.93K,-4.31%,69.00K,+19.10%,67.07K,-2.79%,66.50K,-0.86%
493,Ischemic heart disease,Rajasthan,Female,15.64K,,17.63K,+12.74%,18.63K,+5.69%,19.79K,+6.24%,19.74K,-0.28%,19.75K,+0.09%,18.84K,-4.62%,17.34K,-7.96%,20.08K,+15.78%,19.70K,-1.91%,19.67K,-0.15%
493,Ischemic heart disease,Sikkim,Male,381.37,,385.02,+0.96%,382.44,-0.67%,393.69,+2.94%,379.03,-3.73%,350.79,-7.45%,309.23,-11.85%,279.73,-9.54%,350.19,+25.19%,358.86,+2.48%,368.49,+2.68%
493,Ischemic heart disease,Sikkim,Female,163.01,,168.48,+3.36%,163.42,-3.01%,160.58,-1.74%,151.05,-5.93%,142.48,-5.67%,128.93,-9.51%,127.41,-1.17%,172.27,+35.20%,154.40,-10.37%,156.45,+1.33%
493,Ischemic heart disease,Tamil Nadu,Male,132.03K,,130.46K,-1.19%,124.72K,-4.40%,125.36K,+0.52%,120.32K,-4.03%,111.34K,-7.46%,98.26K,-11.74%,96.85K,-1.44%,113.15K,+16.83%,92.85K,-17.94%,94.71K,+2.00%
493,Ischemic heart disease,Tamil Nadu,Female,54.38K,,55.56K,+2.16%,52.24K,-5.97%,50.34K,-3.63%,46.24K,-8.14%,41.31K,-10.66%,35.45K,-14.19%,33.92K,-4.30%,37.11K,+9.39%,32.38K,-12.74%,34.11K,+5.33%
493,Ischemic heart disease,Telangana,Male,71.83K,,72.59K,+1.07%,73.28K,+0.95%,79.76K,+8.84%,83.45K,+4.62%,85.31K,+2.23%,85.60K,+0.34%,85.32K,-0.33%,105.98K,+24.22%,90.02K,-15.06%,88.42K,-1.77%
493,Ischemic heart disease,Telangana,Female,43.31K,,45.51K,+5.08%,45.32K,-0.42%,48.02K,+5.97%,48.71K,+1.44%,48.18K,-1.10%,45.69K,-5.16%,41.84K,-8.42%,43.30K,+3.49%,47.39K,+9.44%,46.06K,-2.81%
