REI ID,REI Name,Year,State,Sex,20-29,30-39,40-49,50-59,60-69
99,Smoking,2014,Delhi,Male,0.0,9.74,37.71,19.39,33.15
99,Smoking,2014,Goa,Female,0.0,6.77,19.69,18.87,54.67
99,Smoking,2014,Goa,Male,0.0,9.33,34.94,21.85,33.88
99,Smoking,2014,Gujarat,Female,0.0,6.0,20.92,30.57,42.52
99,Smoking,2014,Gujarat,Male,0.0,8.81,31.11,26.03,34.05
99,Smoking,2014,Haryana,Female,0.0,3.23,15.77,20.0,60.99
99,Smoking,2014,Haryana,Male,0.0,9.77,35.02,20.91,34.3
99,Smoking,2014,Himachal Pradesh,Female,0.0,4.63,12.58,14.59,68.2
99,Smoking,2014,Himachal Pradesh,Male,0.0,7.26,30.25,21.46,41.03
99,Smoking,2014,Jharkhand,Female,0.0,3.68,13.55,21.06,61.72
99,Smoking,2014,Jharkhand,Male,0.0,9.33,26.07,24.2,40.4
99,Smoking,2014,Karnataka,Female,0.0,2.44,15.97,31.75,49.84
99,Smoking,2014,Karnataka,Male,0.0,10.2,33.35,20.54,35.9
99,Smoking,2014,Kerala,Female,0.0,3.11,8.77,21.79,66.33
99,Smoking,2014,Kerala,Male,0.0,6.13,28.25,26.98,38.64
99,Smoking,2014,Madhya Pradesh,Female,0.0,4.41,11.46,21.41,62.72
99,Smoking,2014,Madhya Pradesh,Male,0.0,9.87,32.56,22.78,34.8
99,Smoking,2014,Maharashtra,Female,0.0,9.45,28.68,24.34,37.53
99,Smoking,2014,Maharashtra,Male,0.0,7.11,25.6,23.67,43.62
99,Smoking,2014,Manipur,Female,0.0,3.24,17.29,23.09,56.37
99,Smoking,2014,Manipur,Male,0.0,8.11,27.26,25.19,39.44
99,Smoking,2014,Meghalaya,Female,0.0,7.7,31.95,19.5,40.85
99,Smoking,2014,Meghalaya,Male,0.0,13.0,33.4,20.34,33.26
99,Smoking,2014,Mizoram,Female,0.0,6.58,21.21,23.13,49.07
99,Smoking,2014,Mizoram,Male,0.0,11.13,33.63,23.34,31.9
